District,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
0.0,0,2.0,30000000.0,66.3,40.0,11.0,2.25894494541,11.0,1.0,0.0,1.0,0.0,3.0,9.0,0.0
0.0,1,3.0,67136879.0,118.0,58.0,nan,2.7585858285,6.0,1.0,1.0,0.0,0.0,2.0,11.0,1.0
0.0,2,4.0,64390950.0,159.0,nan,nan,4.96723990954,9.0,1.0,0.0,0.0,0.0,4.0,18.0,1.0
0.0,3,1.0,4814581.0,17.3,17.3,nan,4.9250390096,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0
0.0,4,1.0,4814581.0,17.3,nan,nan,4.9250390096,5.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0
0.0,5,1.0,5377566.0,18.3,nan,nan,4.9250390096,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
0.0,6,1.0,5377566.0,18.3,18.3,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,5.0,nan,1.0
0.0,7,1.0,5496232.0,23.7,23.7,nan,4.9250390096,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0
0.0,8,1.0,5500000.0,32.0,20.0,7.0,5.11663354213,4.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0
0.0,9,1.0,5990000.0,29.0,15.6,5.5,7.41112360176,5.0,0.0,1.0,1.0,1.0,3.0,5.0,0.0
0.0,10,1.0,5999000.0,30.0,16.0,6.0,7.41112360176,nan,nan,1.0,1.0,1.0,3.0,5.0,0.0
0.0,11,1.0,6000000.0,35.0,20.0,nan,7.35290614231,13.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0
0.0,12,1.0,6100000.0,36.0,20.0,10.0,5.00658237883,10.0,1.0,0.0,1.0,1.0,12.0,12.0,0.0
0.0,13,1.0,6200000.0,37.4,20.0,9.6,6.12837044351,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
0.0,14,1.0,6258687.0,25.5,nan,nan,4.9250390096,5.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0
0.0,15,1.0,6258687.0,25.5,25.5,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,4.0,nan,1.0
0.0,16,1.0,6285999.0,32.6,32.6,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,2.0,nan,1.0
0.0,17,1.0,6300000.0,35.0,18.0,8.0,5.97025263852,12.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0
0.0,18,1.0,6325576.0,29.5,29.5,nan,4.90788360618,5.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0
0.0,19,1.0,6325576.0,30.0,nan,nan,4.9250390096,5.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0
0.0,20,1.0,6350000.0,34.0,21.0,8.0,4.91804756451,12.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0
0.0,21,1.0,6355668.0,22.3,22.3,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,3.0,nan,1.0
0.0,22,1.0,6437035.0,33.5,nan,nan,4.9250390096,5.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0
0.0,23,1.0,6449418.0,28.5,nan,nan,4.9250390096,5.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0
0.0,24,1.0,6500000.0,30.7,18.6,nan,5.11714698474,10.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0
0.0,25,1.0,6500000.0,36.8,20.5,6.0,7.43091405188,11.0,1.0,1.0,1.0,0.0,2.0,5.0,0.0
0.0,26,1.0,6597337.0,27.9,27.9,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,2.0,nan,1.0
0.0,27,1.0,6600000.0,34.0,18.0,10.0,7.71140828278,10.0,1.0,0.0,1.0,1.0,2.0,12.0,0.0
0.0,28,3.0,44990000.0,123.8,1.0,nan,5.98623699069,2.0,1.0,1.0,0.0,0.0,46.0,60.0,0.0
0.0,29,1.0,12900000.0,36.0,16.0,8.0,3.36429986944,3.0,1.0,1.0,1.0,0.0,3.0,8.0,0.0
0.0,30,2.0,75000000.0,115.0,92.0,nan,2.49500128701,3.0,1.0,1.0,0.0,1.0,9.0,12.0,0.0
0.0,31,1.0,6600000.0,33.1,20.2,5.6,5.34629020938,5.0,1.0,1.0,0.0,1.0,5.0,9.0,0.0
0.0,32,2.0,6600000.0,33.1,18.0,6.0,5.34629020938,5.0,1.0,1.0,0.0,1.0,5.0,9.0,0.0
0.0,33,2.0,6690600.0,41.2,27.8,nan,5.38117024967,nan,nan,1.0,0.0,0.0,5.0,19.0,1.0
0.0,34,1.0,6800000.0,31.0,19.0,7.0,5.88550661242,15.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0
0.0,35,1.0,6850000.0,32.0,17.0,8.0,5.07217932492,9.0,1.0,0.0,0.0,1.0,9.0,12.0,0.0
0.0,36,1.0,6889007.0,26.1,26.1,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,1.0,nan,1.0
0.0,37,2.0,6980600.0,41.3,27.8,nan,5.38117024967,nan,nan,1.0,0.0,0.0,4.0,19.0,1.0
0.0,38,2.0,6980600.0,42.0,23.4,nan,5.38117024967,nan,nan,1.0,0.0,0.0,5.0,19.0,1.0
0.0,39,1.0,6998000.0,33.0,17.6,7.5,4.13377530225,6.0,1.0,0.0,0.0,0.0,5.0,9.0,0.0
